"scientificName","decimalLatitude","decimalLongitude","eventDate"
"Archilochus colubris",43.1337619,-75.6569678,2013-09-03
"Archilochus colubris",30.4727647,-84.240384,2017-05-11
"Archilochus colubris",41.3271309,-85.5203891,2016-09-09
"Archilochus colubris",45.3557114,-93.3538663,2017-05-11
"Archilochus colubris",37.2486254,-76.8576479,2017-04-05
"Archilochus colubris",45.38964,-93.14064,2015-05-18
"Archilochus colubris",39.7341716,-75.7031393,2013-05-15
"Archilochus colubris",28.5287339,-80.8282614,2014-04-28
"Archilochus colubris",41.4871662,-72.2466275,2016-08-29
"Archilochus colubris",45.743631,-90.738732,2016-06-24
"Archilochus colubris",32.5319446,-97.2962716,2013-04-01
"Archilochus colubris",42.2514963,-83.8662332,2015-06-20
"Archilochus colubris",41.1055944,-87.8437271,2015-09-30
"Archilochus colubris",43.262715,-77.436801,2016-07-16
"Archilochus colubris",36.4801213,-94.3373519,2016-04-28
"Archilochus colubris",37.309289,-76.74015,2014-05-31
"Archilochus colubris",35.155177,-76.638556,2014-05-17
"Archilochus colubris",53.9063102,-113.3558178,2016-08-17
"Archilochus colubris",42.568253,-81.5549469,2015-06-18
"Archilochus colubris",46.8122644,-71.1736259,2017-08-22
"Archilochus colubris",40.3017466,-75.0355081,2015-05-21
"Archilochus colubris",48.8823087,-67.3026082,2015-09-15
"Archilochus colubris",30.3834554,-97.8517178,2017-10-18
"Archilochus colubris",38.877452,-95.813161,2017-05-10
"Archilochus colubris",45.864564,-74.0349941,2017-06-13
"Archilochus colubris",46.3654099,-79.4881439,2016-09-08
"Archilochus colubris",44.05243,-70.1033328,2014-05-18
"Archilochus colubris",42.5732103,-85.2861142,2014-08-09
"Archilochus colubris",36.9701068,-84.6549354,2015-08-29
"Archilochus colubris",43.0765997,-89.5024234,2017-06-03
"Archilochus colubris",34.6832198,-92.5458348,2015-04-04
"Archilochus colubris",44.5994973,-69.1998295,2013-08-10
"Archilochus colubris",29.7661492,-95.568746,2013-09-27
"Archilochus colubris",47.8201957,-79.8692896,2015-08-23
"Archilochus colubris",42.2577142,-82.9858518,2017-05-11
"Archilochus colubris",42.468642,-71.304492,2014-08-20
"Archilochus colubris",43.3424553,-77.9539633,2016-05-13
"Archilochus colubris",41.0748507,-75.1879458,2017-06-07
"Archilochus colubris",46.4644872,-86.9278438,2016-06-24
"Archilochus colubris",38.980228,-78.535995,2013-09-10
"Archilochus colubris",41.0592974,-74.5889202,2014-05-07
"Archilochus colubris",40.3677139,-74.2975625,2016-05-04
"Archilochus colubris",40.9615418,-80.1114249,2017-05-01
"Archilochus colubris",41.4080377,-74.1248846,2017-08-04
"Archilochus colubris",44.8881774,-87.8874908,2014-07-03
"Archilochus colubris",33.103161,-98.5728777,2016-08-19
"Archilochus colubris",42.9677128,-78.7562871,2016-05-27
"Archilochus colubris",32.534707,-93.902171,2017-09-25
"Archilochus colubris",33.732481,-86.9783209,2017-06-30
"Archilochus colubris",39.2930841,-77.2262907,2014-08-15
"Archilochus colubris",42.83175,-73.95388,2017-06-08
"Archilochus colubris",43.7026145,-74.9339842,2016-08-15
"Archilochus colubris",40.5799776,-79.9410752,2017-08-09
"Archilochus colubris",32.308093,-80.497768,2014-04-10
"Archilochus colubris",43.6294902,-72.9392624,2013-05-21
"Archilochus colubris",43.9266513,-79.4589139,2017-09-04
"Archilochus colubris",35.8771553,-84.6392136,2013-04-22
"Archilochus colubris",40.9932044,-79.9651909,2016-07-08
"Archilochus colubris",37.5215595,-80.9696567,2015-06-01
"Archilochus colubris",33.442998,-79.170218,2015-12-30
"Archilochus colubris",38.5841659,-81.9315898,2013-05-17
"Archilochus colubris",39.9460537,-76.6993856,2017-08-26
"Archilochus colubris",41.6753554,-71.6652158,2017-09-23
"Archilochus colubris",40.6117995,-82.6092613,2016-10-08
"Archilochus colubris",41.2643803,-82.0802844,2017-08-20
"Archilochus colubris",35.9572703,-78.8281488,2013-07-19
"Archilochus colubris",35.8959338,-86.8442416,2017-08-07
"Archilochus colubris",37.9274202,-91.7573296,2017-07-08
"Archilochus colubris",40.480215,-79.329864,2016-05-30
"Archilochus colubris",34.4318257,-83.5486265,2014-04-04
"Archilochus colubris",42.558976,-71.7427826,2014-06-14
"Archilochus colubris",42.6886185,-77.6772022,2013-08-02
"Archilochus colubris",45.9253729,-94.3245513,2016-05-29
"Archilochus colubris",43.130566,-77.613433,2014-08-06
"Archilochus colubris",48.3375526,-71.1406803,2016-08-24
"Archilochus colubris",34.6622219,-83.0992743,2015-09-25
"Archilochus colubris",41.8947925,-75.9667307,2017-05-03
"Archilochus colubris",45.1549921,-64.4095696,2015-09-01
"Archilochus colubris",42.6589592,-82.9346323,2017-05-14
"Archilochus colubris",42.2697591,-72.3805644,2013-09-10
"Archilochus colubris",43.0448681,-81.258595,2015-09-06
"Archilochus colubris",40.3846477,-76.3642633,2014-07-06
"Archilochus colubris",39.2844352,-76.9368736,2016-05-21
"Archilochus colubris",45.205594,-89.677025,2015-05-15
"Archilochus colubris",34.7932241,-89.9430084,2017-09-30
"Archilochus colubris",40.9330012,-74.5011715,2014-07-31
"Archilochus colubris",45.17704,-92.83489,2013-05-18
"Archilochus colubris",39.5128837,-82.4073051,2015-05-09
"Archilochus colubris",34.9355919,-81.8564755,2013-07-15
"Archilochus colubris",39.221737,-89.420544,2017-05-13
"Archilochus colubris",41.2483641,-76.9059679,2017-06-08
"Archilochus colubris",39.7483242,-75.6191218,2017-09-12
"Archilochus colubris",40.3012503,-76.7643419,2015-08-29
"Archilochus colubris",40.1386792,-75.3275597,2015-08-31
"Archilochus colubris",30.5565226,-97.6694494,2015-09-24
"Archilochus colubris",35.8901453,-78.6488405,2016-05-12
"Archilochus colubris",32.8567884,-83.6692894,2016-05-14
"Archilochus colubris",29.8664214,-90.1014291,2017-09-02
"Archilochus colubris",40.6710854,-74.8902583,2016-05-18
"Archilochus colubris",35.7845876,-86.4928568,2016-04-27
"Archilochus colubris",44.5263742,-79.6154308,2017-08-28
"Archilochus colubris",32.7931731,-93.073082,2013-08-01
"Archilochus colubris",30.0878014,-81.7009154,2016-08-11
"Archilochus colubris",36.182173,-85.4987383,2017-06-21
"Archilochus colubris",39.100569,-93.165468,2013-04-29
"Archilochus colubris",44.7406665,-90.841822,2014-09-03
"Archilochus colubris",34.2681615,-80.6291581,2015-09-01
"Archilochus colubris",40.01609,-77.06167,2015-08-18
"Archilochus colubris",46.8909636,-71.2959334,2016-05-26
"Archilochus colubris",44.88627,-91.03378,2016-06-03
"Archilochus colubris",27.6906149,-97.3206492,2017-04-29
"Archilochus colubris",41.4916788,-79.425289,2015-05-15
"Archilochus colubris",39.4447868,-77.46788,2014-08-31
"Archilochus colubris",33.807,-82.912001,2017-08-04
"Archilochus colubris",33.8479284,-79.5754337,2017-08-28
"Archilochus colubris",42.8981773,-80.991388,2016-05-22
"Archilochus colubris",39.278231,-77.103383,2016-05-22
"Archilochus colubris",40.416816,-75.022069,2017-08-04
"Archilochus colubris",41.8520571,-88.3352427,2014-09-30
"Archilochus colubris",32.993332,-83.921566,2017-05-13
"Archilochus colubris",40.0053721,-74.2403819,2017-04-28
"Archilochus colubris",38.6538433,-90.3035805,2016-09-17
"Archilochus colubris",36.4318887,-87.4594102,2016-09-19
"Archilochus colubris",38.926852,-80.474091,2017-08-20
"Archilochus colubris",29.5790637,-95.0639703,2013-09-28
"Archilochus colubris",45.6422942,-75.9284449,2017-08-17
"Archilochus colubris",45.659698,-97.1021059,2014-05-18
"Archilochus colubris",42.0162692,-91.7330074,2014-06-17
"Archilochus colubris",38.9548702,-76.5257835,2015-08-07
"Archilochus colubris",38.121845,-75.495037,2017-08-11
"Archilochus colubris",43.5504766,-71.2823868,2017-08-26
"Archilochus colubris",34.1589605,-84.536444,2017-08-10
"Archilochus colubris",42.7438921,-89.1281319,2014-09-12
"Archilochus colubris",42.528639,-76.795217,2016-09-05
"Archilochus colubris",30.4270976,-87.8431875,2015-04-05
"Archilochus colubris",39.2119478,-96.5023278,2017-05-15
"Archilochus colubris",44.8883655,-91.896987,2014-05-10
"Archilochus colubris",29.4811862,-97.6635003,2015-04-20
"Archilochus colubris",45.1676019,-72.7844324,2015-06-27
"Archilochus colubris",30.7734777,-96.3004017,2013-09-07
"Archilochus colubris",39.5510961,-79.7746228,2016-07-05
"Archilochus colubris",34.7533099,-92.3235434,2016-05-30
"Archilochus colubris",43.2725185,-71.5572166,2015-08-02
"Archilochus colubris",39.8090558,-83.148403,2017-06-01
"Archilochus colubris",39.2689756,-76.8662739,2014-09-15
"Archilochus colubris",43.0968637,-74.7711548,2015-06-01
"Archilochus colubris",42.5672113,-72.2185338,2015-07-23
"Archilochus colubris",39.5990213,-79.6408635,2015-09-12
"Archilochus colubris",32.3812833,-87.7233167,2015-07-23
"Archilochus colubris",36.1741494,-79.6998936,2014-04-15
"Archilochus colubris",43.9691016,-75.645775,2014-06-12
"Archilochus colubris",42.3182089,-71.7841721,2015-06-05
"Archilochus colubris",42.8175031,-75.5474854,2014-08-23
"Archilochus colubris",28.4381006,-82.4551928,2016-05-19
"Archilochus colubris",40.4067238,-74.7851077,2014-09-11
"Archilochus colubris",28.104902,-82.4760916,2017-03-03
"Archilochus colubris",42.99468,-77.15822,2017-06-09
"Archilochus colubris",36.8876529,-76.2729961,2015-09-12
"Archilochus colubris",37.9466321,-87.2874391,2014-08-15
"Archilochus colubris",30.089296,-95.6339264,2014-09-18
"Archilochus colubris",34.2439026,-77.918663,2014-10-23
"Archilochus colubris",30.7536676,-84.7250216,2014-08-05
"Archilochus colubris",45.0359694,-73.0430889,2017-09-01
"Archilochus colubris",41.240948,-74.20288,2017-09-12
"Archilochus colubris",38.067372,-84.4155443,2016-04-28
"Archilochus colubris",45.3566613,-72.2617619,2017-08-05
"Archilochus colubris",38.9439859,-90.1631452,2014-07-27
"Archilochus colubris",38.3968033,-77.0540714,2013-05-06
"Archilochus colubris",30.6029012,-89.0671921,2016-04-12
"Archilochus colubris",30.9277767,-86.4363527,2015-07-27
"Archilochus colubris",50.2961044,-97.0219749,2015-08-15
"Archilochus colubris",41.8307683,-74.0920066,2017-04-22
"Archilochus colubris",35.2112448,-89.7141087,2015-09-27
"Archilochus colubris",47.2900705,-79.3294281,2017-06-19
"Archilochus colubris",40.7580564,-74.8270206,2014-09-04
"Archilochus colubris",43.719474,-72.31387,2017-07-29
"Archilochus colubris",39.4990405,-74.4961238,2017-08-27
"Archilochus colubris",44.5855019,-85.0913858,2015-05-27
"Archilochus colubris",33.4349254,-84.6987882,2017-08-29
"Archilochus colubris",32.7434646,-79.9136066,2016-03-14
"Archilochus colubris",30.7635216,-85.1790512,2015-08-30
"Archilochus colubris",38.975659,-75.932355,2014-09-02
"Archilochus colubris",38.375451,-75.6657547,2013-08-27
"Archilochus colubris",41.6164419,-72.5817963,2016-09-12
"Archilochus colubris",36.9078314,-80.0238528,2014-08-29
"Archilochus colubris",36.665366,-80.695927,2017-04-30
"Archilochus colubris",30.3118384,-96.9127607,2014-04-27
"Archilochus colubris",43.2826553,-76.8022361,2014-05-20
"Archilochus colubris",30.1258333,-92.0775,2017-03-25
"Archilochus colubris",41.5735908,-83.854866,2013-06-11
"Archilochus colubris",36.0409841,-86.3519003,2017-06-14
"Archilochus colubris",39.1484818,-84.514621,2014-05-12
"Archilochus colubris",31.717654,-83.6431217,2015-08-25
"Archilochus colubris",29.59794,-95.24135,2017-09-25
"Archilochus colubris",35.787773,-97.618506,2016-06-12
"Archilochus colubris",26.1520103,-97.9995017,2017-09-07
"Archilochus colubris",30.6392782,-87.881071,2015-09-05
"Archilochus colubris",45.3094077,-73.3100778,2017-06-13
"Archilochus colubris",40.5623245,-77.489769,2016-08-14
"Archilochus colubris",43.8883928,-73.6609629,2016-06-04
"Archilochus colubris",41.452145,-71.59119,2016-06-24
"Archilochus colubris",36.5303045,-87.3234353,2015-04-19
"Archilochus colubris",45.542716,-75.794693,2017-06-17
"Archilochus colubris",38.982381,-92.383142,2016-06-02
"Archilochus colubris",38.1019414,-86.1255169,2014-10-12
"Archilochus colubris",37.4677045,-76.7251495,2014-06-13
"Archilochus colubris",38.6686996,-94.4912302,2015-05-25
"Archilochus colubris",30.261004,-98.8905305,2014-04-14
"Archilochus colubris",43.7813815,-72.2910637,2013-05-10
"Archilochus colubris",44.390893,-69.3196106,2017-06-11
"Archilochus colubris",35.8856064,-84.1208394,2016-08-25
"Archilochus colubris",41.509359,-83.114381,2017-08-29
"Archilochus colubris",40.3865853,-84.3808622,2015-09-06
"Archilochus colubris",35.6174305,-82.8366137,2016-04-18
"Archilochus colubris",45.696511,-87.51656,2016-05-10
"Archilochus colubris",33.8507419,-83.4640534,2013-07-11
"Archilochus colubris",42.2050771,-71.234107,2015-07-01
"Archilochus colubris",32.1964156,-94.7653413,2017-07-30
"Archilochus colubris",29.5312786,-95.1957932,2017-02-22
"Archilochus colubris",47.3650482,-69.9501657,2015-06-09
"Archilochus colubris",30.343599,-88.723835,2017-09-14
"Archilochus colubris",42.9678228,-79.5538473,2017-06-14
"Archilochus colubris",42.1930114,-71.741024,2013-06-12
"Archilochus colubris",32.925141,-79.717257,2013-05-31
"Archilochus colubris",35.8183348,-86.3713941,2016-09-01
"Archilochus colubris",42.8365544,-88.4930039,2016-06-23
"Archilochus colubris",41.729049,-84.8381853,2017-07-12
"Archilochus colubris",37.243,-80.372656,2013-05-07
"Archilochus colubris",41.182634,-77.372994,2017-08-03
"Archilochus colubris",34.730808,-92.5209676,2013-04-27
"Archilochus colubris",39.9408092,-91.4162564,2017-09-21
"Archilochus colubris",39.03065,-87.2410845,2016-06-13
"Archilochus colubris",33.899,-83.309551,2014-08-21
"Archilochus colubris",41.7645019,-72.2905755,2016-05-19
"Archilochus colubris",39.121651,-94.348508,2014-05-18
"Archilochus colubris",33.1399049,-96.582613,2017-10-07
"Archilochus colubris",44.0018534,-64.6965457,2016-09-02
"Archilochus colubris",46.880501,-69.8586917,2016-05-28
"Archilochus colubris",45.2508725,-81.3060594,2016-08-22
"Archilochus colubris",28.6433213,-81.3952053,2013-10-16
"Archilochus colubris",39.001237,-76.822105,2015-09-01
"Archilochus colubris",41.5860698,-78.1962189,2014-07-05
"Archilochus colubris",44.1711006,-69.8170665,2015-06-27
"Archilochus colubris",37.0765148,-77.9982923,2013-04-25
"Archilochus colubris",45.0865528,-84.8017186,2017-05-29
"Archilochus colubris",40.4704124,-86.9787088,2014-07-28
"Archilochus colubris",45.5046626,-73.7664986,2016-08-17
"Archilochus colubris",38.7653273,-93.5494316,2016-08-17
"Archilochus colubris",42.91703,-75.26832,2014-06-12
"Archilochus colubris",43.321197,-98.3476996,2017-09-04
"Archilochus colubris",35.9391735,-87.1727985,2016-09-30
"Archilochus colubris",42.0945285,-82.4565232,2015-05-16
"Archilochus colubris",41.019205,-74.3415942,2016-07-10
"Archilochus colubris",40.6172427,-75.0293684,2016-05-08
"Archilochus colubris",38.994506,-75.492899,2013-04-26
"Archilochus colubris",42.8069251,-77.3922873,2015-05-11
"Archilochus colubris",9.9153357,-84.1917622,2015-12-26
"Archilochus colubris",50.024198,-100.188151,2017-06-21
"Archilochus colubris",43.5106286,-80.2187006,2016-08-25
"Archilochus colubris",31.2817239,-81.6792948,2014-04-19
"Archilochus colubris",35.2983494,-97.5205233,2017-08-21
"Archilochus colubris",43.070518,-74.6558762,2014-07-30
"Archilochus colubris",30.0975483,-90.4920647,2013-09-07
"Archilochus colubris",35.231248,-81.6706252,2013-04-14
"Archilochus colubris",38.6689605,-87.3169009,2017-08-05
"Archilochus colubris",39.911064,-77.02987,2013-06-06
"Archilochus colubris",33.86988,-84.230138,2017-05-08
"Archilochus colubris",28.7338439,-97.1363443,2017-05-05
"Archilochus colubris",37.3138695,-78.4414977,2016-04-23
"Archilochus colubris",43.0741545,-88.9146924,2016-10-02
"Archilochus colubris",53.4504101,-112.8216505,2016-06-03
"Archilochus colubris",44.7276511,-62.9993703,2014-08-28
